Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral, Latitude, Longitude,Label
2,2,2,2,0,0,2,0,2,2,2,0,185940,730190,1
4,2,3,3,0,1,3,0,1,2,2,0,137950,831770,1
2,3,1,0,0,2,1,1,4,2,2,2,295960,757940,1
3,3,1,0,0,4,3,2,2,3,3,2,326340,842570,0
2,2,2,0,0,2,1,0,1,2,2,2,263670,785270,1
2,2,3,1,0,2,1,1,1,2,1,1,345340,1009260,1
4,1,4,4,1,0,1,2,1,1,1,0,140430,645730,1
2,4,0,1,0,3,4,0,0,0,4,1,563970,34370,0
4,1,4,4,0,0,2,0,1,2,1,0,141560,646220,0
0,2,0,0,0,1,1,0,2,2,3,3,247670,672610,0
3,2,1,0,0,3,2,1,0,2,2,2,332680,840840,1
2,2,3,1,0,2,2,1,1,1,1,2,131330,659720,1
3,2,2,1,0,1,2,2,1,2,3,1,266610,868730,1
1,2,1,0,0,1,2,1,2,2,2,4,319820,862320,0
1,3,1,0,0,0,1,1,1,2,0,2,327760,849140,0
1,3,1,0,0,0,0,0,0,2,2,2,332680,840840,0
1,2,0,0,0,1,1,1,2,2,3,2,252810,682750,0
2,3,1,0,0,2,2,2,1,2,2,3,319560,828780,1
2,2,1,1,0,1,2,0,2,1,2,2,276750,883450,0
4,2,4,4,1,0,0,1,1,1,0,0,138680,645160,1
4,3,1,0,0,2,1,4,2,2,3,1,327710,844480,1
2,2,1,0,0,1,0,1,2,2,2,2,278740,800600,0
2,3,0,0,1,0,2,1,1,2,2,1,289690,708850,0
